,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Guerrero,"periodista, derechos, derechos humanos, humanos, corazón, telenovela, alejandra, familia, mecanismo, asesinato, vida, espinoza, actriz, garcía, violencia","sismo, suscripción, magnitud, zona, sísmico, alto, hijo, dispositivo, paso, alerta, and, querer, terremoto, mundo, pasar","mujer, comunidad, social, trabajo, salud, deber, derecho, pueblo, municipio, obra, pesos, centro, desarrollo, familia, recibir","acapulco, municipio, chilpancingo, autoridad, calle, seguridad, evelyn, dejar, estatal, municipal, registrar, lugar, colonia, local, policía","fiscalía, grupo, federal, seguridad, investigación, policía, encontrar, delito, criminal, autoridad, detener, justicia, señalar, josé, familia","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, lugar, publicar, llamado","equipo, paolo, querer, mundial, dejar, historia, partido, vida, jugar, mundo, pasar, encontrar, serie, quedar, carrera","zona, temperatura, lluvia, agua, viento, frío, racha, ambiente, norte, riesgo, salud, máximo, escuela, alto, fuerte"
Hidalgo,"ron, frío, zona, norte, temperatura, ambiente, lluvia, universidad, racha, viento, grado, tamaulipa, frente, sonoro, fuerte","electoral, gobernador, partido, político, federal, derecho, estatal, elección, proceso, ciudadano, morena, local, obrador, pri, secretario","pesos, agua, centro, salud, servicio, contar, comunidad, actividad, encontrar, pueblo, lugar, social, municipal, deber, proyecto","mayo, redacción, criterio, criterio mayo, redacción criterio, redacción criterio mayo, mayo redacción, mayo redacción criterio, criterio mayo redacción, sesión, cerrar, iniciar, interesar, salud, contagio","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","smn, mujer, servicio, causar, tormenta, fecha, municipal, aprobar, mayo, climático, sorpresa, tomar sorpresa, condición climático, tomar sorpresa condición, sorpresa condición","seguridad, policía, potente, hombre, delito, investigación, mujer, autoridad, vehículo, colonia, violencia, arma, elemento, lugar, cuerpo","tula, espacio, educación, felipe, hora, venta, huejutla, afectar, mayo, acción, liberar, estatal, educativo, orizatlán, felipe orizatlán"
Jalisco,"zona, temperatura, frío, norte, lluvia, alto, ambiente, sonoro, viento, región, racha, enero, grado, coahuilo, remesa","gente, martínez, tequila, claudio, jimeno, gente claudio, gente claudio jimeno, claudio jimeno, jorge, morelia, antonio, grupo, autlán, soltero, tony","banda, metal, álbum, paul, música, rock, tocar, escuchar, lugar, grabar, disco, concierto, canción, llamado, publicar","mujer, violencia, metallico, presentar, sexual, derecho, lucha, dave, frente, género, campo, docente, mayo, deber, figura","cártel, cjng, arma, grupo, criminal, seguridad, policía, generación, autoridad, armado, ejército, droga, cártel generación, presunto, militar","municipio, encontrar, registrar, zona, salud, fiscalía, autoridad, recibir, estatal, seguridad, agua, desaparecido, delito, víctima, unidad","pesos, gobernador, empresa, trabajo, social, desarrollo, estatal, proyecto, seguridad, centro, alfaro, económico, municipio, local, comunidad","equipo, serie, charro, juego, estadio, josé, carrera, deporte, ganar, liga, caribe, punto, domingo, serie caribe, victoria"
Mexico,"periodista, obrador, humanos, derechos, derechos humanos, asesinato, andrés, andrés manuel, protección, andrés manuel obrador, manuel obrador, manuel, violencia, federal, arma","violencia, mujer, autoridad, seguridad, fiscalía, investigación, migrant, justicia, grupo, delito, guitarrista, familia, encontrar, víctima, unidos","banda, metal, álbum, paul, música, rock, tocar, escuchar, grabar, canción, concierto, disco, publicar, lugar, llamado","empresa, económico, desarrollo, trabajo, sector, nivel, mercado, inversión, economía, mujer, energía, laboral, precio, social, unidos","pandemia, suscripción, dispositivo, inflación, precio, tasa, banco, salud, trabajador, contagio, registrar, dato, acceder, nivel, económico","salud, agua, zona, médico, servicio, and, enfermedad, secretaría, comunidad, especie, vida, tonelada, centro, sismo, natural","partido, obrador, electoral, aeropuerto, político, mexico, reforma, manuel, diputado, mundial, grupo, internacional, estadio, morena, aifa","ucrania, rusia, relación, ruso, cultura, pueblo, historia, universidad, mundo, internacional, unidos, cultural, guerra, proyecto, comunidad"
Michoacan,"iem, indígena, morena, recibir, reglamento, hora, alfonso martínez, martínez, alfonso, apoyo, pozo, rescatar, acusar, promover, opopeo","grupo, cártel, cuerpo, autoridad, violencia, familia, cjng, hombre, víctima, comunidad, criminal, fiscalía, quedar, rosa, leer","banda, metal, lugar, encontrar, vida, música, dejar, escuchar, pasar, rock, tocar, agua, querer, vivir, deber","salud, atención, centro, médico, niño, hospital, población, dif, servicio, ssm, secretaría, familia, adolescente, paciente, secretaría salud","pesos, gobernador, ramírez, bedolla, municipal, ramírez bedolla, desarrollo, alfredo, social, alfredo ramírez, trabajo, alfredo ramírez bedolla, económico, secretaría, gobernador alfredo","cultura, cultural, centro, pueblo, tradicional, actividad, hora, pátzcuaro, tradición, festival, historia, casa, secretaría, secum, danza","sismo, zona, temperatura, grado, daño, magnitud, celsius, grado celsius, coalcomán, septiembre, epicentro, lluvia, protección civil, terremoto, región","seguridad, guardia, autoridad, fiscalía, vehículo, aguacate, grupo, encontrar, unidos, zona, elemento, policía, arma, secretaría, lugar"
Morelos,"morelia, grupo, real, colonia, guadalupe, colonia guadalupe, universidad, rio, zapata, monte, jesus, español, madero, puente, grupo grupo","seguridad, judicial, docente, cuernavaca, federal, estatal, buscar, fiscalía, joven, trabajador, blanco, investigación, mayo, congreso, maestro","baterista, cuautla, carreteros, incendio, subir escenario, servicio, seguridad, ofrecer, participar, publicar julio, perseverancia, basurero, accidente, cierre tramo, registrar","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","morelia, liga, atlético, atlético morelia, partido, equipo, torneo, tapatío, canario, gol, cuarto, ramírez, punto, sismo, quedar","municipal, municipio, pesos, josé, trabajo, social, contar, cuernavaca, servicio, señalar, vida, encontrar, autoridad, obra, investigación","centro, salud, social, cáncer, cuernavaca, instituto, médico, paso, morelense, alto, imss, proteger, mundo, gestión, cártel","zona, norte, temperatura, frío, lluvia, nieve, hora, juárez, tramo, racha, ambiente, tamaulipa, municipio, jueves, guachochi"
Nayarit,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","hijo, empresa, playa, zona, vallarta, turístico, grupo, chávez, josé, josé ramón, pemex, puerto, ramón, beltrán, houston","paso, alto, cártel, aprender, operar, proteger, presunto, remesa, gestión, error, mercado, hijo, cesar, particularmente, calibre","salud, secretaría, activo, secretaría salud, contagio, febrero, sonoro, semáforo, registrar, amarillo, color, muerte, enfermedad, reportar, riesgo","federal, obrador, gobernador, pesos, social, político, periodista, seguridad, manuel, señalar, andrés, andrés manuel, pueblo, titular, josé","policía, comunidad, docente, mujer, campo, valle, guadalajara, homicidio, lucha, presentar, figura, martín, seguridad, cuerpo, magistrada","actividad, punto, nivel, electoral, equipo, social, precio, ine, deportivo, universidad, instituto, tepic, acción, proceso, comisión","frío, racha, lluvia, viento, ambiente, zona, norte, temperatura, nublado, sonoro, cielo, tamaulipa, golfo, grado, helada"
Nuevo Leon,"salud, reproducción, médico, atención, recomendar, pesos, mujer, delito, servicio, hospital, menor, secretaría, centro, ley, quedar","fiscalía, encontrar, seguridad, autoridad, municipio, policía, cuerpo, debanhi, civil, mujer, joven, investigación, fuerza, elemento, búsqueda","pesos, transporte, movilidad, unidad, ruta, línea, camión, servicio, metro, vehículo, placa, instituto, estación, usuario, urbano","banda, metal, álbum, música, rock, tocar, escuchar, canción, grabar, disco, concierto, lugar, grupo, llamado, publicar","gobernador, garcía, estatal, partido, político, federal, ciudadano, electoral, social, deber, proceso, congreso, samuel, alcalde, diputado","agua, zona, presa, municipio, lluvia, metropolitano, sequía, crisis, garcía, litro, cerro, nivel, drenaje, agua drenaje, cuchillo","mujer, niño, garcía, samuel, social, samuel garcía, red, niña, familia, rodríguez, gobernador, red social, querer, compartir, adolescente","empresa, centro, inversión, planta, contar, desarrollo, compañía, proyecto, lugar, parque, municipio, empleo, unidos, garcía, industria"
Oaxaca,"electoral, gobernador, político, proceso, secretaría, estatal, ciudadano, elección, partido, seguridad, social, congreso, instituto, federal, bienestar","educación, pesos, servicio, municipio, programa, educativo, aprender, efectivo, mantener, escuela, basura, completo, remesa, agua, empresa","frío, lluvia, zona, norte, viento, racha, temperatura, ambiente, fuerte, sonoro, tamaulipa, grado, coahuilo, costa, sierra","oax, febrero, quadratín, abril, quadratín oax, oax febrero, oax abril, estatal, murat, incendio, alejandro, quadratín oax febrero, mayo, informar, civil","salud, febrero, médico, enfermedad, contagio, enero, riesgo, color, secretaría, servicio, hospital, menor, amarillo, semáforo, atención","santa, calle, migrant, autoridad, municipio, kilómetro, municipal, hora, lugar, pesos, carretera, maría, juárez, guelaguetza, encontrar","comunidad, oaxaqueño, pueblo, lugar, cultural, cultura, casa, centro, tradicional, historia, encontrar, espacio, región, trabajo, proyecto","mujer, periodista, violencia, federal, fiscalía, autoridad, investigación, humanos, derechos, derechos humanos, policía, municipal, seguridad, víctima, justicia"
Puebla,"autoridad, vía, reportar, difundir, exigir, taquería, salud, issstep, familia, población, centro, mercado, vivir, autopista, incendio","min, área, falta, centro, evento, recibir, actividad, agua, museo, mayo, cultural, derecho, local, zona, cultura","seguridad, mujer, autoridad, encontrar, miguel, estatal, federal, gobernador, barbosa, policía, investigación, fiscalía, enero, social, grupo","pesos, municipio, centro, zona, comunidad, servicio, contar, deber, encontrar, agua, lugar, recomendar, calle, secretaría, ley","banda, metal, música, álbum, rock, escuchar, tocar, concierto, disco, pasar, grabar, canción, lugar, llamado, decidir","universidad, anáhuac, empresa, estudiante, proyecto, desarrollo, escuela, inversión, sector, social, industria, economía, director, trabajo, permitir","historia, red, red social, social, artístico, actividad, natación, taekwondo, ofrecer, artista, feria, amor, concierto, poesía, agrupación","paul, equipo, club, frío, norte, liga, zona, temperatura, lluvia, ambiente, partido, estadio, viento, racha, torneo"
Queretaro,"estadio, tauro, violencia, autoridad, seguridad, partido, atlas, liga, hora, fiscalía, corregidora, investigación, gallo, informar, equipo","cooki, sitio, web, sitio web, utilizar, experiencia, almacenar, utilizar cooki, web cooki, sitio web cooki, festival, suscripción, necesario, privacidad, red","empresa, municipio, desarrollo, contar, agua, servicio, proyecto, estatal, pesos, trabajo, centro, destacar, nivel, inversión, secretaría","min, falta, recibir, área, disparo, centro, esquina, olimpiada, recibir falta, mayo, caer, min falta, robado, lluvia, detener","abuso sexual, sexual, soto, abuso, asegurar, arriaga, liga municipal, premier, julián, contar, serie, tom, cruise, tom cruise, fianza","museo, festival, histórico, arte, artista, artístico, director, estadística, visitar, cine, impulsar, pieza, propuesta, presente, amor","morelia, grupo, banda, real, colonia, seccion, guadalupe, universidad, centro, metal, monte, rio, lugar, encontrar, gallo","lluvia, salud, confirmar, irregularidad, recorte, afectación, municipal, jalpan, alcalde, morén, nivel, felipe, autoridad, apagón, puga"
Quintana Roo,"jornada, sociedad, internacional, seguridad, aumentar, político, maya, evento, informar, tren, avance, tulum, visitar, visita, edición","frío, lluvia, norte, racha, viento, zona, temperatura, ambiente, tamaulipa, sonoro, nublado, palazuelos, fuerte, grado, golfo","salud, quadratín, quintán, facebook, twitter, whatsapp, tiktok, telegram, mayo, facebook twitter, especie, reproducción, fuente, instagram, contagio","partido, gobernador, político, social, ciudadano, trabajo, mujer, estatal, carlos, lezama, electoral, desarrollo, mara, proceso, deber","banda, metal, álbum, paul, música, rock, tocar, escuchar, grabar, disco, canción, concierto, lugar, llamado, publicar","efectivo, completo, aprender, descubrir, conexión, guía, mantener, construir, adulto, estrategia, paso, superar, amigo, resolver, conflicto","zona, playa, maya, carmen, encontrar, playa carmen, tulum, municipio, empresa, información, tren, turístico, lugar, noticia, agua","seguridad, periodista, enero, investigación, delito, policía, violencia, homicidio, autoridad, federal, fiscalía, víctima, asesinato, crimen, arma"
San Luis Potosi,"mujer, seguridad, encontrar, fiscalía, autoridad, policía, estatal, investigación, violencia, familia, víctima, médico, zona, cuerpo, vida","equipo, realito, obra, pozo, delito, ayuntamiento, servicio, liga, enero, centro, avenida, ayuntamiento slp, redacción, homicidio, galindo","carrera, fecha, atlético, temporada, equipo, piloto, futbol, infantil, olimpiada, ganador, auto, americano, futbol americano, fecha puntuable, puntuable","empresa, contar, centro, pesos, zona, municipal, capital, proyecto, servicio, empleo, desarrollo, trabajo, lugar, nivel, feria","registrar, caída, lengua, sequía, médico, buscar, sector, número, cierre, visitar, pozo, real, lluvia, canaco, producción","transporte, fenapo, secretaría, leer, confirmar, redacción, sct, taxista, oficial, servicio, centro, zona, enfermedad, destacado, sarampión","hombre, detener, capital, mujer, policía, investigar, asesinar, robado, asalto, cobre, presentar, actividad, noticia, nota, plaza","punto, sumar, animal, cerveza, hotel, turismo, lugar, marcelo, charro, congreso, sumar punto, diputado, santos, mary, unidad"
Sinaloa,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","cártel, droga, criminal, autoridad, grupo, guzmán, seguridad, culiacán, encontrar, asegurar, mayo, organización, unidos, armado, chapo","culiacán, niño, lugar, importante, trabajo, querer, escuela, mayo, mazatlán, buscar, joven, trabajar, vida, social, deber","culiacán, mazatlán, salud, agua, pesos, secretario, municipal, municipio, servicio, estatal, proyecto, animal, precio, gobernador, empresa","frío, norte, temperatura, zona, ambiente, viento, lluvia, racha, nublado, sonoro, grado, región, cielo, coahuilo, costa","mayo, protección civil, mazatlán, civil, protección, lluvia, penal, consejo, jueves mayo, fge, jueves, pueblo, atención, determinar, objeto","federal, arma, seguridad, policía, mujer, unidos, periodista, rosas, enero, delito, fiscalía, encontrar, autoridad, garcía, secretaría","ordaz, españa, quirino, partido, embajador, quirino ordaz, pri, ordaz coppel, coppel, embajada, paso, efectivo, beneplácito, político, obrador"
Sonora,"película, historia, lugar, contar, encontrar, anonymous, vida, mundo, tema, importante, banda sonoro, especie, artista, proyecto, compartir","hermosillo, agua, uniforme, estudiante, producción, educación, ley, cultivo, forma, consumo, mayo, materia, distribución, martes, campo","banda, metal, álbum, paul, música, rock, tocar, escuchar, grabar, canción, disco, concierto, publicar, llamado, lugar","hermosillo, empresa, federal, social, pesos, obrador, estatal, gobernador, trabajo, señalar, servicio, autoridad, deber, recibir, agua","frío, lluvia, zona, temperatura, norte, ambiente, viento, racha, grado, fuerte, coahuilo, tamaulipa, región, nublado, cielo","pitic, fiesta, fiesta pitic, foro, accidente, banda, alternativo, sonorens, hermosillo, social, nota, mundo, acción, red, tumor","seguridad, fiscalía, policía, arma, encontrar, autoridad, secretaría, informar, federal, investigación, elemento, grupo, cuerpo, vehículo, reportar","display, scorpions, guachochi, hermosillo, priest, southern, asistir concierto, alquilar, year, habida, mundial, serie, judas priest, patrocinio, asegurar"
Tabasco,"hijo, obrador, empresa, contrato, baker, beltrán, pemex, adams, josé, houston, andrés, ramón, josé ramón, investigación, vivir","activo, salud, secretaría, secretaría salud, contagio, efectivo, completo, muerte, registrar, reportar, defunción, mayo, remesa, sonoro, paso","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","tabasqueño, niño, villahermosa, torneo, relacionado, nota relacionado noticia, relacionado noticia, nota relacionado, peso, nota, participación, perro, acción, junio, mundo","hospital, médico, may, paciente, salud, alto, especialidad, mano, regional, hospital regional, cáncer, unidad, enfermedad, alto especialidad, positivo","frío, temperatura, lluvia, homicidio, racha, norte, chilapa, zona, viento, ambiente, continuar, viernes, agua, cifra, edad","municipio, pesos, centro, estatal, enero, servicio, social, trabajo, agua, federal, encontrar, obra, proyecto, secretaría, mujer","tránsito, cunduacán, seguro, declarar, agente, imss, agente tránsito, miércoles, ejecutado, alto, unidad, falta, aborto, paraíso, temperatura"
Tamaulipas,"partido, morena, gobernador, político, villarreal, pan, américo, candidato, pri, congreso, américo villarreal, municipal, diputado, estatal, anaya","tampico, agua, calor, pedir, sol tampico, madero, sol, zona, colonia, contar, tradición, sector, presencia, organismo, emprendedor","unidos, marcar, tel, tel unidos, unidos marcar, tel unidos marcar, autor, derecho, necesitar, ofrecer, contribuir, agencia, nota, información, elegir","electoral, salud, agua, ine, secretaría, instituto, proceso, seguridad, ciudadano, elección, participación, presa, contagio, enero, mandato","norte, frío, zona, temperatura, lluvia, viento, región, ambiente, racha, energía, sonoro, grado, fuerte, sierra, mínimo","banda, metal, periodista, lugar, encontrar, deber, programa, federal, vida, grupo, tocar, música, rock, tampico, municipio","uat, universidad, rector, universitario, mendoza, tampico, facultad, guillermo, guillermo mendoza, proyecto, universidad autónomo, autónomo, área, museo, académico","policía, elemento, estatal, fiscalía, cártel, seguridad, arma, policía estatal, armado, militar, vehículo, criminal, unidad, asegurar, detener"
Tlaxcala,"banda, metal, álbum, paul, música, rock, tocar, escuchar, grabar, disco, canción, lugar, concierto, publicar, grupo","circular, vehículo, accidente, restricción, hombre, altura, personal, dejar, edomex, transporte, cdmx, cdmx edomex, tráiler, vida, lesionado","frío, ambiente, racha, lluvia, viento, zona, temperatura, norte, nublado, sonoro, cielo, región, grado, golfo, tamaulipa","sol, cultura, alejandra, alejandra ordoñez, ordoñez sol, alejandra ordoñez sol, ordoñez, arte, museo, exposición, secretaría cultura, cultural, secretaría, histórico, torre sol","salud, secretaría, pesos, registrar, servicio, municipio, población, nivel, febrero, hora, activo, número, secretaría salud, pandemia, tasa","trabajo, apizaco, obra, recurso, ciudadano, espectáculo, queja, ayuntamiento, espectáculo títere, títere, despensa, cuna, feria, uatx, alcalde","ron, deporte, márquez, mundo, torre, cantante, conade, deportivo, tenis, alto, mundial, real, tlaxcalteca, olimpiada, social","mujer, estatal, seguridad, municipal, municipio, centro, proceso, social, político, trabajo, federal, violencia, partido, educación, obrador"
